country,air_quality_Carbon_Monoxide,air_quality_Nitrogen_dioxide,air_quality_Ozone,air_quality_PM10,air_quality_PM2.5,air_quality_Sulphur_dioxide,air_quality_gb-defra-index,air_quality_us-epa-index
Afghanistan,800.0883783783784,8.678081081,118.01621621621622,72.83935135135135,26.584216216216216,13.453351351351351,2.827027027027027,1.9567567567567568
Albania,269.0227027027027,17.588162162162163,71.87027027027027,23.52589189189189,17.63810810810811,8.580729729729729,1.9837837837837837,1.5783783783783785
Algeria,301.80594594594595,33.65689189189189,57.075675675675676,41.939,22.828405405405405,13.332378378378378,2.4756756756756757,1.7945945945945947
Angola,514.1927027027027,11.593054054054054,68.57837837837837,42.479837837837835,33.40248648648649,7.1934054054054055,3.5837837837837836,2.1783783783783783
Argentina,826.3556756756756,27.075027027027026,27.55135135135135,15.131054054054054,14.574864864864864,8.618621621621621,1.7567567567567568,1.4054054054054055
Armenia,232.9281081081081,11.831351351351353,55.45945945945946,25.265405405405406,13.592054054054055,1.3955135135135135,1.5891891891891892,1.3513513513513513
Australia,202.6,11.290216216216216,43.41081081081081,10.803675675675676,9.685972972972973,2.4033243243243243,1.3891891891891892,1.2054054054054053
Austria,305.4805405405406,15.183027027027027,59.054054054054056,16.398108108108108,12.575486486486488,1.9033513513513514,1.508108108108108,1.2864864864864864
Azerbaijan,294.9445945945946,5.760432432432433,90.14054054054054,53.96781081081081,23.228297297297296,1.331945945945946,2.572972972972973,1.827027027027027
Bahamas,215.49972826086955,1.7759510869565216,58.17934782608695,18.804021739130434,9.401902173913044,1.1083152173913045,1.2717391304347827,1.1358695652173914
Bangladesh,594.0423913043478,29.389510869565218,55.766304347826086,41.90233695652174,37.99926630434783,25.400978260869564,4.179347826086956,2.3532608695652173
Belarus,309.46,18.673189189189188,49.454054054054055,15.274027027027028,12.344324324324324,4.189702702702703,1.4648648648648648,1.2540540540540541
Belgium,310.73728323699424,29.45945086705202,47.77745664739884,23.16615606936416,16.43349710982659,3.324479768786127,1.8959537572254335,1.4682080924855492
Belize,217.05108695652174,1.1575,40.70652173913044,14.179375,8.477554347826086,0.5186684782608696,1.2065217391304348,1.1195652173913044
Benin,355.7416216216216,5.527783783783784,45.56216216216216,33.623135135135136,27.034837837837838,2.02427027,2.8324324324324324,2.0432432432432432
Bhutan,339.12486486486483,2.129135135135135,85.53513513513514,8.398864864864864,5.904567567567567,0.997,1.1567567567567567,1.0756756756756756
Bolivia,323.64324324324326,6.488162162162162,37.02162162162162,12.843391891891892,12.426256756756757,7.685851351351351,1.5648648648648649,1.2567567567567568
Bosnia and Herzegovina,286.4881081081081,10.503108108108108,64.26486486486486,24.7137027,19.92264864864865,8.359918918918918,2.189189189189189,1.7135135135135136
Botswana,996.3775675675676,19.98554054054054,51.95135135135135,24.959405405405406,24.599756756756758,8.357216216216216,2.7837837837837838,1.8432432432432433
Brazil,240.90027027027028,1.3834864864864864,42.372972972972974,11.88337837837838,11.232621621621622,0.4050540540540541,1.4972972972972973,1.2324324324324325
Bulgaria,281.1612128146453,12.276979405034325,56.432494279176204,18.051384439359268,13.825675057208237,5.256338672768878,1.6292906178489703,1.3432494279176201
Burkina Faso,411.42135135135135,3.8904054054054056,58.8,68.34586486486486,21.082891891891894,1.1095405405405405,2.3675675675675674,1.6972972972972973
Burundi,584.4591891891891,4.719324324324324,75.55135135135136,40.36637837837838,39.141594594594594,2.290054054054054,4.410810810810811,2.4324324324324325
Cambodia,485.9881081081081,11.209432432432433,57.513513513513516,28.26464864864865,26.123405405405403,8.232567567567568,3.037837837837838,1.8810810810810812
Cameroon,397.6964864864865,4.420513513513513,40.63243243243243,24.220594594594598,15.396918918918917,1.0907567567567567,1.7945945945945947,1.4756756756756757
Canada,397.8910810810811,10.748594594594595,58.69189189189189,11.289972972972972,11.046,3.6545135135135136,1.4864864864864864,1.2540540540540541
Central African Republic,403.22135135135136,1.515945945945946,32.6972973,25.824054054054052,22.649675675675674,0.33864864864864863,2.481081081081081,1.8
Chad,442.0370270270271,4.418675675675676,64.10810810810811,81.02662162162162,28.166162162162163,0.9867297297297296,3.1135135135135137,1.9891891891891893
Chile,2680.7591891891893,115.21754054054054,16.18918918918919,106.86824324324324,105.35762162162162,124.65267567567567,8.627027027027028,3.8054054054054056
China,1865.385945945946,104.48108108108109,34.902702702702705,140.22151351351351,122.6184054054054,84.17397297297298,9.308108108108108,4.108108108108108
Republic of the Congo,563.4856756756757,7.480351351351351,61.12972972972973,37.83018918918919,36.65605405405405,1.8341621621621622,4.037837837837838,2.3405405405405406
Costa Rica,543.9896739130435,11.729429347826088,49.34239130434783,13.745135869565217,11.864021739130434,6.576956521739131,1.4184782608695652,1.201086956521739
Ivory Coast,245.46249999999998,2.6002083333333332,33.81944444444444,8.983402777777776,6.929375,0.8556250000000001,1.0555555555555556,1
Croatia,289.10621621621624,10.114621621621621,64.58378378378379,18.460621621621623,14.82754054054054,1.3063243243243243,1.7351351351351352,1.4378378378378378
Cuba,352.77065217391305,6.457798913043478,56.38586956521739,17.955842391304348,11.366929347826087,11.913641304347827,1.3695652173913044,1.201086956521739
Cyprus,217.19783783783782,3.9798918918918917,82.02162162162162,27.68318918918919,16.316567567567567,2.670594594594595,1.8108108108108107,1.5621621621621622
Czech Republic,286.302973,15.853324324324323,56.42702702702703,16.675216216216217,13.054135135135134,3.4902702702702704,1.5675675675675675,1.3135135135135134
Denmark,297.48135135135135,18.895432432432433,58.1027027,14.968297297297298,10.062378378378378,1.1665675675675675,1.2702702702702702,1.1405405405405404
Djibouti,290.77972972972975,3.5575945945945944,75.25405405405405,102.89059459459459,34.433972972972974,3.495945945945946,3.810810810810811,2.308108108108108
Dominican Republic,469.3494594594594,19.81016216216216,39.005405405405405,26.775135135135134,16.850702702702705,10.664297297297297,1.9189189189189189,1.5243243243243243
Ecuador,1244.0614130434783,11.490978260869566,39.44021739130435,6.3269021739130435,6.215190217391305,7.1083423913043475,1.0543478260869565,1.0326086956521738
Egypt,361.9581081081081,43.66391891891892,63.31351351351351,64.20821621621621,37.57702702702703,107.03016216216217,4.064864864864865,2.3513513513513513
El Salvador,560.9864130434783,12.869293478260868,75.84782608695652,32.34847826086956,29.33836956521739,7.696413043478262,3.130434782608696,2.0434782608695654
Equatorial Guinea,298.38567567567566,3.675081081081081,46.25405405405405,14.325216216216216,10.57418918918919,1.5186486486486486,1.308108108108108,1.1513513513513514
Eritrea,269.51027027027027,2.6926486486486487,79.87027027027027,84.71210810810811,25.41845945945946,1.5278378378378377,2.6972972972972973,1.9675675675675677
Estonia,268.6427027027027,10.82572972972973,56.7027027,11.585324324324324,8.628297297297296,1.1200270270270272,1.2378378378378379,1.1027027027027028
Ethiopia,754.8567567567568,6.342351351351351,72.32972972972973,75.46327027027027,34.18675675675676,2.8281081081081085,3.864864864864865,2.3027027027027027
Finland,282.98297297297296,15.929702702702702,55.14054054054054,11.149351351351353,7.820054054054054,1.8172972972972972,1.135135135135135,1.0432432432432432
France,436.19864130434786,36.731983695652175,43.119565217391305,22.856032608695653,16.200054347826086,2.9830978260869565,1.8478260869565217,1.5108695652173914
Gabon,486.8362162162162,8.053594594594594,42.36756756756757,22.088729729729728,19.424405405405405,1.7420540540540541,2.081081081081081,1.6864864864864866
Gambia,230.45486486486487,1.974918918918919,54.75675675675676,85.22932432432432,27.80108108108108,2.292945945945946,3.1783783783783783,1.9567567567567568
Georgia,261.9289189189189,10.278783783783783,56.627027027027026,24.839864864864865,15.34162162162162,6.380783783783784,1.8054054054054054,1.4648648648648648
Germany,317.55918918918917,17.95183783783784,53.983783783783785,17.568945945945945,12.747702702702702,2.862783783783784,1.508108108108108,1.281081081081081
Ghana,359.01540540540543,6.024837837837838,53.64324324324324,20.747432432432433,15.781081081081082,6.118621621621621,1.8054054054054054,1.4756756756756757
Greece,381.8262295081967,46.45448087431694,59.21311475409836,30.00295081967213,18.47243169398907,6.042240437,2.0655737704918034,1.6010928961748634
Guatemala,663.1160326086957,8.111603260869567,64.25543478,32.050489130434784,28.352554347826086,2.7785326086956523,3.1684782608695654,2.032608695652174
Guinea,270.10978260869564,2.9726902173913046,52.72282608695652,24.972445652173914,13.085896739130433,2.2272282608695653,1.6141304347826086,1.2826086956521738
Guinea-Bissau,293.5062162162162,2.2461891891891894,45.68108108108108,52.287729729729726,21.894513513513512,1.273945945945946,2.5945945945945947,1.654054054054054
Guyana,232.2183783783784,2.4255405405405406,48.49189189189189,14.948702702702704,8.817621622,1.5751891891891894,1.2162162162162162,1.0810810810810811
Haiti,551.4524456521739,10.638315217391305,80.21195652173913,45.39355978,33.23426630434783,9.012201086956521,3.5815217391304346,2.1793478260869565
Honduras,502.1535326086956,6.504103260869565,53.78804347826087,21.835217391304347,15.61453804347826,3.4179891304347825,1.7445652173913044,1.3804347826086956
Hungary,264.82526315789477,12.726552631578947,64.15263157894736,15.767657894736843,11.82263157894737,1.6213157894736843,1.4210526315789473,1.2
Iceland,241.68839130434782,3.3192173913043477,62.36413043478261,10.81454347826087,5.3062065217391305,2.619445652173913,1.0108695652173914,1.0108695652173914
India,1161.6378378378379,48.80489189,99.05405405405405,290.8872702702703,100.59554054054054,45.25132432432433,8.610810810810811,3.810810810810811
Indonesia,3650.664054054054,77.28889189,46.15405405405406,121.38605405405404,119.36322972972972,49.002027027027026,6.2594594594594595,3.518918918918919
Iran,1140.2408108108107,44.038135135135136,92.54864864864865,116.543,42.366081081081084,14.768702702702702,4.835135135135135,2.516216216216216
Iraq,1081.9478378378378,51.62708108108108,62.972972972972975,97.65254054054054,41.21254054054054,45.763351351351346,4.405405405405405,2.464864864864865
Ireland,246.23967391304348,18.052282608695652,54.21739130434783,21.984565217391303,10.924646739130434,2.5328532608695653,1.3641304347826086,1.173913043478261
Israel,232.34324324324325,16.1962973,82.98378378378378,39.00405405405405,21.312783783783782,11.054567567567569,2.2864864864864867,1.7621621621621621
Italy,276.2691891891892,16.393486486486488,63.043243243243246,24.308297297297297,15.77964864864865,1.320891891891892,1.7783783783783784,1.4972972972972973
Jamaica,1186.3817934782608,8.525217391304349,53.516304347826086,26.54885869565217,15.075135869565216,4.009945652173913,1.7826086956521738,1.391304347826087
